X,Y,numero_pessoas
328344,7397305,7
328344,7397305,1
331451,7392743,7
331451,7392743,1
331302,7392872,9
331302,7392872,1
333820,7396198,1
333820,7396198,1
332446,7397149,3
332304,7397245,1
332304,7397245,1
332634,7396776,1
332634,7396776,1
331033,7402146,1
331033,7402146,1
333556,7396962,2
333870,7396887,1
333440,7396798,1
333440,7396798,1
334018,7400108,2
334018,7400108,1
334301,7399860,2
334301,7399860,1
333473,7396985,2
333473,7396985,1
333447,7396412,3
333447,7396412,1
333130,7396883,2
333130,7396883,1
332695,7397285,3
332919,7396704,6
332919,7396704,1
332980,7396808,2
332980,7396808,1
332916,7396955,2
332916,7396955,1
336447,7394876,2
336447,7394876,1
332888,7396438,3
332888,7396438,1
332726,7396694,1
332726,7396694,1
332599,7397365,3
332599,7397365,1
333076,7396266,2
333076,7396266,1
332155,7397343,1
332155,7397343,1
332464,7397296,3
334697,7401424,1
334697,7401424,1
334952,7400884,1
334952,7400884,1
332913,7396961,2
332913,7396961,1
332993,7396936,1
332993,7396936,1
333468,7396279,1
308665,7398601,6
308665,7398601,1
